x_1,x_2,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13
TI031,1.0,41249,20362,45771,107053,42032,113936,-0.2589,-0.37,-0.5026,488,679,476,5226
TI031,0.5,41249,20362,45771,107053,42032,113936,-0.21719999999999998,-0.36010000000000003,-0.4169,487,675,485,5226
TI031,0.75,41249,20362,45771,107053,42032,113936,-0.2263,-0.34020000000000006,-0.4576,492,692,483,5226
TI031,1.25,41249,20362,45771,107053,42032,113936,-0.2784,-0.41550000000000004,-0.5453,482,660,467,5226
TI031,1.5,41249,20362,45771,107053,42032,113936,-0.28269999999999995,-0.4185,-0.562,480,660,467,5226
TI034,0.1,41249,20362,45771,107053,42032,113936,-0.2345,-0.33759999999999996,-0.48429999999999995,492,695,484,5226
TI034,0.5,41249,20362,45771,107053,42032,113936,-0.1906,-0.3135,-0.39180000000000004,494,700,491,5226
TI034,0.75,41249,20362,45771,107053,42032,113936,-0.20959999999999998,-0.31599999999999995,-0.43170000000000003,495,703,489,5226
TI034,1.25,41249,20362,45771,107053,42032,113936,-0.2612,-0.37660000000000005,-0.5208,490,676,473,5226
TI034,1.5,41249,20362,45771,107053,42032,113936,-0.26580000000000004,-0.3784,-0.5395,488,675,469,5226
